Obs,station,DD,reach,runjday,avgrunjd,period,year,season,month,day,sampling,NO3,NH4,SRP,Q,deltaQ,w,rchw,L,area,NO3load,LNO3prop,NO3dwnup,LNO3pred,LNO3PO,LNO3OP,LNO3dif,delNO3L,NO3eff,UNO3
1,7,0,,6,6,1,1986,1winter,1,6,1,0.34,0.32,0.05,3.02,,8.9,,,,88.72,0.21,,,,,,,,
2,9,42.34,1,6,6,1,1986,1winter,1,6,1,0.51,0.15,0.04,5.88,2.856,28.8,18.9,44.9,847156,259.1,0.62,2.92,172.73,0.67,1.5,86.37,170.38,1.92,201.12
3,10,70.99,2,6,6,1,1986,1winter,1,6,1,0.58,0.18,0.052,6.3,0.42,25.9,27.3,19.9,544680,315.71,0.76,1.22,277.6,0.88,1.14,38.1,56.61,0.22,103.93
4,11,86.71,3,6,6,1,1986,1winter,1,6,1,0.51,0.12,0.038,7.56,1.26,42.7,34.3,24.4,836365,333.12,0.8,1.06,378.85,1.14,0.88,-45.72,17.42,0.06,20.83
5,12,175.05,4,6,6,1,1986,1winter,1,6,1,0.35,0.03,0.026,13.41,5.852,40.9,41.8,78.6,3286233,405.52,0.97,1.22,590.9,1.46,0.69,-185.38,72.39,0.22,22.03
6,13,195.59,5,6,6,1,1986,1winter,1,6,1,0.24,0.005,0.02,20.16,6.748,60.4,50.7,29.2,1479020,418.04,1,1.03,609.64,1.46,0.69,-191.6,12.52,0.03,8.46
7,7,0,,35,34.5,1,1986,1winter,2,4,2,0.46,0.2,0.07,3.25,,8.9,,,,129.17,0.2,,,,,,,,
8,9,42.34,1,35,34.5,1,1986,1winter,2,4,2,0.54,0.06,0.051,7.67,4.424,29.2,19.1,44.9,855522,357.85,0.56,2.77,304.84,0.85,1.17,53.02,228.68,1.77,267.3
9,10,70.99,2,35,34.5,1,1986,1winter,2,4,2,0.52,0.13,0.1,8.12,0.448,25.9,27.5,19.9,548644,364.82,0.57,1.02,378.85,1.04,0.96,-14.03,6.96,0.02,12.69
10,11,86.71,3,34,34.5,1,1986,1winter,2,3,2,0.54,0.52,0.3,11.2,3.08,43.3,34.6,24.4,843880,522.55,0.82,1.43,503.19,0.96,1.04,19.35,157.73,0.43,186.91
11,12,175.05,4,34,34.5,1,1986,1winter,2,3,2,0.29,0.2,0.14,19.94,8.736,41,42.1,78.6,3311884,499.62,0.78,0.96,930.32,1.86,0.54,-430.7,-22.93,-0.04,-6.92
12,13,195.59,5,34,34.5,1,1986,1winter,2,3,2,0.24,0.09,0.068,30.8,10.864,61.5,51.2,29.2,1495802,638.67,1,1.28,771.72,1.21,0.83,-133.06,139.05,0.28,92.96
13,7,0,,56,56,1,1986,1winter,2,25,3,,,,14,,8.9,,,,,,,,,,,,,
14,9,42.34,1,56,56,1,1986,1winter,2,25,3,,,,45.08,31.08,37,23,44.9,1030380,,,,,,,,,,
15,10,70.99,2,56,56,1,1986,1winter,2,25,3,,,,56,10.92,25.9,31.4,19.9,626262,,,,,,,,,,
16,11,86.71,3,56,56,1,1986,1winter,2,25,3,,,,111.16,55.16,43.4,34.6,24.4,845061,,,,,,,,,,
17,12,175.05,4,56,56,1,1986,1winter,2,25,3,,,,190.68,79.52,41,42.2,78.6,3315635,,,,,,,,,,
18,13,195.59,5,56,56,1,1986,1winter,2,25,3,,,,222.32,31.64,66.5,53.8,29.2,1569894,,,,,,,,,,
19,7,0,,69,69,1,1986,2spring,3,10,4,0.28,0.3,0.08,5.38,,8.9,,,,130.15,0.16,,,,,,,,
20,9,42.34,1,69,69,1,1986,2spring,3,10,4,0.36,0.14,0.067,10.44,5.068,29.8,19.3,44.9,868470,324.73,0.4,2.49,252.56,0.78,1.29,72.16,194.57,1.49,224.04
