"","Station","date","year","month","day","julian_day","nitrate","amo","srp","flow","width","velocity","depth"
"1","abf",1986-01-06,1986,1,6,6,0.58,0.18,0.052,6.4,23,0.64,0.45
"2","abf",1986-02-04,1986,2,4,35,0.52,0.13,0.1,8.2,23.36,0.73,0.51
"3","abf",1986-02-25,1986,2,25,56,NA,NA,NA,56.6,26.31,2,1.3
"4","abf",1986-03-10,1986,3,10,69,0.38,0.14,0.083,10.8,23.76,0.84,0.58
"5","abf",1986-04-07,1986,4,7,97,0.18,0.02,0.03,8.3,23.38,0.73,0.51
"6","abf",1986-04-21,1986,4,21,111,0.04,0.005,0.018,8.3,23.39,0.74,0.51
"7","abf",1986-05-05,1986,5,5,125,0.04,0.005,0.046,10.6,23.74,0.83,0.58
"8","abf",1986-05-19,1986,5,19,139,0.005,0.005,0.023,7.7,23.27,0.71,0.49
"9","abf",1986-06-02,1986,6,2,153,0.02,0.02,0.13,25.5,25.05,1.32,0.88
"10","abf",1986-06-16,1986,6,16,167,0.06,0.005,0.054,9.4,23.56,0.78,0.54
"11","abf",1986-07-14,1986,7,14,195,0.005,0.005,0.026,5.8,22.86,0.61,0.43
"12","abf",1986-08-12,1986,8,12,224,0.05,0.005,0.041,1.7,21.2,0.32,0.24
"13","abf",1986-09-09,1986,9,9,252,0.11,0.04,0.049,8,23.32,0.72,0.5
"14","abf",1986-10-14,1986,10,14,287,0.03,0.02,0.012,7.9,23.31,0.72,0.5
"15","abf",1986-11-12,1986,11,12,316,0.41,0.01,0.025,6,22.91,0.62,0.43
"16","abf",1986-12-09,1986,12,9,343,0.45,0.02,0.03,6.5,23.04,0.65,0.45
"17","abf",1987-01-12,1987,1,12,12,0.59,0.04,0.053,8.8,23.46,0.76,0.52
"18","abf",1987-02-09,1987,2,9,40,0.52,0.05,0.12,6.5,23.03,0.65,0.45
"19","abf",1987-03-09,1987,3,9,68,0.48,0.08,0.06,7.8,23.29,0.71,0.5
"20","abf",1987-04-06,1987,4,6,96,0.26,0.01,0.044,7.4,23.22,0.69,0.48
"21","abf",1987-04-21,1987,4,21,111,0.08,0.005,0.028,6.8,23.1,0.66,0.46
"22","abf",1987-05-05,1987,5,5,125,0.05,0.005,0.031,5.6,22.83,0.6,0.42
"23","abf",1987-05-18,1987,5,18,138,0.005,0.005,0.056,3,21.95,0.43,0.31
"24","abf",1987-06-03,1987,6,3,154,0.1,0.02,0.057,7.5,23.23,0.69,0.48
"25","abf",1987-06-22,1987,6,22,173,0.005,0.005,0.052,4.8,22.61,0.55,0.39
"26","abf",1987-06-30,1987,6,30,181,0.005,0.005,0.042,6.6,23.06,0.65,0.46
"27","abf",1987-07-07,1987,7,7,188,0.01,0.005,0.064,2.4,21.63,0.38,0.28
"28","abf",1987-07-27,1987,7,27,208,0.1,0.03,0.052,4.2,22.42,0.51,0.37
"29","abf",1987-08-11,1987,8,11,223,0.005,0.02,0.042,2.3,21.59,0.37,0.27
"30","abf",1987-09-14,1987,9,14,257,0.005,0.02,0.048,2.6,21.74,0.4,0.29
"31","abf",1987-10-13,1987,10,13,286,0.01,0.01,0.012,4.7,22.58,0.55,0.39
"32","abf",1987-11-16,1987,11,16,320,0.29,0.005,0.013,5.3,22.75,0.58,0.41
"33","abf",1987-12-15,1987,12,15,349,0.53,0.03,0.029,4.4,22.49,0.53,0.38
"34","abf",1988-01-12,1988,1,12,12,0.63,0.1,0.04,4.3,22.44,0.52,0.37
"35","abf",1988-02-09,1988,2,9,40,0.55,0.1,0.035,5.7,22.84,0.6,0.42
"36","abf",1988-03-08,1988,3,8,68,0.34,0.02,0.012,6,22.91,0.62,0.43
"37","abf",1988-03-29,1988,3,29,89,0.32,0.02,0.018,6.1,22.95,0.63,0.44
"38","abf",1988-04-12,1988,4,12,103,0.16,0.005,0.014,6.5,23.04,0.65,0.45
"39","abf",1988-04-20,1988,4,20,111,0.17,0.02,0.023,9.2,23.53,0.78,0.54
"40","abf",1988-05-02,1988,5,2,123,0.14,0.01,0.02,7.1,23.16,0.68,0.47
"41","abf",1988-05-17,1988,5,17,138,0.09,0.005,0.035,8.4,23.39,0.74,0.51
"42","abf",1988-05-31,1988,5,31,152,0.09,0.02,0.062,9.9,23.64,0.81,0.56
"43","abf",1988-06-14,1988,6,14,166,0.005,0.005,0.039,4.6,22.56,0.54,0.38
"44","abf",1988-07-12,1988,7,12,194,0.04,0.005,0.092,1.1,20.68,0.26,0.19
"45","abf",1988-08-16,1988,8,16,229,0.005,0.005,0.072,1,20.49,0.24,0.18
"46","abf",1988-09-13,1988,9,13,257,0.02,0.005,0.05,1.6,21.1,0.31,0.23
"47","abf",1988-10-12,1988,10,12,286,0.01,0.005,0.017,3.5,22.16,0.47,0.33
"48","abf",1988-11-15,1988,11,15,320,0.31,0.005,0.019,4.3,22.45,0.52,0.37
"49","abf",1988-12-13,1988,12,13,348,0.43,0.02,0.017,5.5,22.79,0.59,0.42
"50","abf",1989-01-17,1989,1,17,17,0.62,0.12,0.033,4.5,22.53,0.54,0.38
"51","abf",1989-03-21,1989,3,21,80,0.5,0.17,0.032,8.2,23.36,0.73,0.51
"52","abf",1989-04-06,1989,4,6,96,0.45,0.05,0.031,8.4,23.39,0.74,0.51
"53","abf",1989-04-19,1989,4,19,109,NA,0.005,0.008,8.8,23.46,0.75,0.52
"54","abf",1989-05-03,1989,5,3,123,0.11,0.005,0.009,8.2,23.36,0.73,0.51
"55","abf",1989-05-17,1989,5,17,137,0.08,0.005,0.023,7.7,23.28,0.71,0.49
"56","abf",1989-05-31,1989,5,31,151,0.01,0.005,0.021,6.1,22.94,0.62,0.44
"57","abf",1989-06-14,1989,6,14,165,0.005,0.005,0.036,6.9,23.11,0.67,0.47
"58","abf",1989-06-27,1989,6,27,178,0.01,0.005,0.022,4.6,22.53,0.54,0.38
"59","abf",1989-07-19,1989,7,19,200,0.05,0.005,0.051,2.7,21.8,0.41,0.29
"60","abf",1989-08-15,1989,8,15,227,0.005,0.005,0.034,2.5,21.72,0.39,0.29
"61","abf",1989-09-19,1989,9,19,262,0.005,0.005,0.01,6.2,22.97,0.63,0.44
"62","abf",1989-10-18,1989,10,18,291,0.005,0.005,0.004,5.7,22.85,0.6,0.43
"63","abf",1989-11-14,1989,11,14,318,0.28,0.02,0.015,6.7,23.08,0.66,0.46
